"","Cell","PredictedID"
"398_2","398_2","TAMs"
"399_2","399_2","Epithelial"
"400_2","400_2","Epithelial"
"401_2","401_2","T cells"
"402_2","402_2","Epithelial"
"403_2","403_2","Epithelial"
"404_2","404_2","T cells"
"405_2","405_2","CAFs"
"406_2","406_2","Epithelial"
"407_2","407_2","Epithelial"
"408_2","408_2","CAFs"
"409_2","409_2","T cells"
"410_2","410_2","Epithelial"
"411_2","411_2","Epithelial"
"412_2","412_2","Epithelial"
"413_2","413_2","Epithelial"
"414_2","414_2","Epithelial"
"415_2","415_2","Epithelial"
"416_2","416_2","Epithelial"
"417_2","417_2","Epithelial"
"418_2","418_2","Epithelial"
"419_2","419_2","Epithelial"
"420_2","420_2","Epithelial"
"421_2","421_2","Epithelial"
"422_2","422_2","Epithelial"
"423_2","423_2","T cells"
"424_2","424_2","Epithelial"
"425_2","425_2","Epithelial"
"426_2","426_2","CAFs"
"427_2","427_2","T cells"
"428_2","428_2","Epithelial"
"429_2","429_2","T cells"
"430_2","430_2","CAFs"
"431_2","431_2","Epithelial"
"432_2","432_2","Epithelial"
"433_2","433_2","CAFs"
"434_2","434_2","T cells"
"435_2","435_2","Epithelial"
"436_2","436_2","Myofib"
"437_2","437_2","T cells"
"438_2","438_2","Epithelial"
"439_2","439_2","Myofib"
"440_2","440_2","Epithelial"
"441_2","441_2","Epithelial"
"442_2","442_2","Epithelial"
"443_2","443_2","CAFs"
"444_2","444_2","Epithelial"
"445_2","445_2","T cells"
"446_2","446_2","Epithelial"
"447_2","447_2","Epithelial"
"448_2","448_2","Myofib"
"449_2","449_2","Epithelial"
"450_2","450_2","Epithelial"
"451_2","451_2","Epithelial"
"452_2","452_2","Epithelial"
"453_2","453_2","T cells"
"454_2","454_2","T cells"
"455_2","455_2","Epithelial"
"456_2","456_2","Epithelial"
"457_2","457_2","Epithelial"
"458_2","458_2","Epithelial"
"459_2","459_2","Epithelial"
"460_2","460_2","Epithelial"
"461_2","461_2","TAMs"
"462_2","462_2","Epithelial"
